pbTrophies,kingLevel,cardLevels,warDayWins,winRate,maxChallengeWins,opponentTrophies,opponentKingLevel,maxOpponentChallengeWins,opponentCardLevels,opponentWinRate,winning
5911,13,10.53684211,160,0.518452335,10,5948,13,12,10.64210526,0.575380746,0
6028,13,11.09473684,158,0.52779953,12,6633,13,15,10.30526316,0.618687632,0
6021,12,9.010526316,59,0.64746811,12,6246,13,12,10.23157895,0.532237127,0
5890,12,10.65263158,90,0.528148927,10,5628,13,10,9.893617021,0.523452158,0
5915,13,10.54736842,116,0.54108948,10,5450,12,11,9.947368421,0.634967806,1
6100,13,9.393617021,153,0.558318038,10,5731,12,9,7.978723404,0.553328561,1
5761,12,9.5,45,0.517829656,12,5906,13,10,10.61702128,0.498034812,0
5610,12,9.757894737,136,0.577011937,12,5675,12,10,9.638297872,0.529109189,0
6027,13,10.45263158,147,0.630689951,12,5744,12,11,10.31578947,0.519721808,1
5496,12,10.08510638,86,0.526486989,11,5409,12,10,10.63829787,0.520592097,1
5636,13,10.67021277,96,0.511568811,10,5952,13,12,10.07446809,0.548248365,0
5664,12,9.70212766,86,0.546941077,8,6060,13,10,9.936842105,0.527256764,0
5176,12,9.231578947,34,0.512378095,10,5914,12,10,10.70526316,0.507243481,0
5713,13,11.10526316,82,0.481270744,12,5714,12,10,9.031578947,0.569495963,0
5407,11,7.936170213,52,0.597197898,6,5886,13,9,10.69148936,0.502526573,0
5609,13,10.07446809,83,0.490523742,12,6686,13,20,11.94736842,0.638646764,0
5629,12,9.778947368,51,0.543774932,12,5549,12,10,10.79787234,0.498361632,1
5637,12,9.680851064,12,0.550236008,11,5402,13,10,11.17894737,0.482599627,0
5418,11,7.473684211,16,0.509740912,10,5954,12,11,9.831578947,0.587900356,0
5159,11,8.279569892,44,0.618210036,12,6011,12,10,9.021052632,0.537749815,1
7004,13,11.51578947,195,0.596682671,20,5704,12,9,10.25263158,0.515640274,1
7024,13,12.09473684,217,0.572354459,20,5702,11,12,7.063157895,0.61198946,1
6744,13,11.33684211,131,0.627125019,15,5891,13,12,11,0.557864903,1
6444,13,10.82978723,183,0.623821113,13,5909,13,11,11.34736842,0.51798972,1
6413,13,11.92631579,120,0.564639688,15,5478,11,9,8.731182796,0.586309524,1
6443,13,11.49473684,174,0.530931677,12,5958,13,10,10.38947368,0.534497567,1
6182,13,9.684210526,122,0.56798216,14,5390,11,10,8.462365591,0.570835496,1
6249,13,11.57894737,133,0.506329114,12,6117,12,12,9.831578947,0.522498156,0
6324,13,10.40425532,192,0.57406199,13,5014,11,12,9.234042553,0.54919708,1
6150,13,11.28723404,164,0.570015871,12,6103,13,11,10.45744681,0.555215261,1
5936,13,11.32631579,102,0.51500043,10,4817,10,0,7.868131868,0.576470588,1
5748,13,11.10526316,152,0.528463165,10,5939,13,10,10.06382979,0.520926611,0
5880,13,10.25263158,143,0.511433306,11,5301,11,9,8.273684211,0.633073101,0
5880,13,11.27368421,139,0.541753271,10,6066,13,11,11.47368421,0.500600101,1
6066,13,11.47368421,159,0.500600101,11,5503,13,6,10.68085106,0.466615404,1
5723,13,10.01052632,80,0.515513126,11,5391,12,10,9.872340426,0.52155447,1
5786,13,11.17894737,156,0.524409131,10,6019,12,20,10.15957447,0.543684799,0
5503,13,10.68085106,74,0.466615404,6,5887,13,10,9.305263158,0.493074434,1
5888,12,10.58947368,126,0.578031724,10,5961,13,12,10.73684211,0.573209191,0
5809,12,10.21276596,73,0.564431684,12,6163,13,13,10.84210526,0.538270252,1
5498,12,9.136842105,18,0.554022501,11,5932,12,12,8.673684211,0.544838673,1
5513,11,8.542553191,31,0.510054845,9,5660,12,10,8.946808511,0.530650888,0
5848,12,9.757894737,87,0.541274971,12,5426,12,15,10.74736842,0.497663551,0
5275,13,11,103,0.487153709,10,5414,11,10,9.431578947,0.559629883,0
5424,12,8.989361702,41,0.463529412,6,5204,11,6,8.873684211,0.486577181,0
5285,11,9.042553191,16,0.465105601,6,5198,12,10,8.915789474,0.596962617,0
5376,13,9.425531915,130,0.49424,10,5277,10,6,7.691489362,0.475140607,1
5153,11,9.617021277,23,0.487059822,4,5807,13,9,10.4893617,0.534671911,0
5127,12,9.787234043,35,0.435777559,10,5530,11,10,9.473684211,0.574139595,0
5217,11,9.010526316,28,0.524972253,11,5851,13,12,11.23157895,0.513424563,0
5226,13,9.602150538,43,0.531323283,12,5397,12,10,11.11578947,0.457316232,0
4901,10,8.655913978,24,0.489770614,4,5983,13,11,10.53684211,0.526068301,0
4749,11,7.397849462,46,0.578335373,10,6039,13,10,12.58947368,0.58305589,0
5400,12,9.425531915,27,0.540588988,10,5719,13,10,10.54255319,0.506286905,1
4703,10,8.445652174,14,0.56501182,8,4996,10,6,7.722222222,0.648148148,1
5495,12,9.936170213,54,0.519035055,6,5957,12,10,10.17021277,0.516970232,0
6639,13,10.41052632,229,0.582860555,17,5759,12,8,9.947368421,0.49358604,1
7992,13,12.95789474,220,0.599651871,13,6920,13,20,10.55789474,0.557089146,1
6112,13,10.61052632,142,0.619804786,12,5838,13,15,11.60638298,0.571699799,1
6266,13,10.67368421,141,0.573335028,12,5380,11,8,9.372340426,0.545040486,0
6372,13,12.16842105,185,0.543717549,13,6852,13,12,10.15957447,0.529793346,1
6649,13,10.73684211,188,0.612230085,16,6472,13,19,11.71578947,0.536952495,0
6408,13,10.95789474,155,0.550436933,12,6508,13,16,11.12765957,0.54392102,1
6414,13,10.74736842,191,0.615782397,16,5533,13,10,10.16842105,0.546368205,1
6271,13,10.88421053,167,0.585241045,14,5499,11,9,9.8,0.516104869,1
6355,13,10.75531915,158,0.512306559,11,5317,11,10,8.361702128,0.600660066,1
6137,13,10.86315789,150,0.526109234,12,5641,13,10,10.84210526,0.498714832,1
6383,13,11.03157895,108,0.592311003,12,5775,12,9,10.83157895,0.499107886,1
6361,13,11.49473684,194,0.574499893,17,6384,13,12,9.926315789,0.619502216,1
6306,13,8.042105263,160,0.613621897,11,5567,13,12,11.25531915,0.519662921,1
6015,13,10.84210526,73,0.549730292,13,6117,13,9,11.77894737,0.552467856,0
6261,13,11.92631579,183,0.529382279,12,6072,13,12,10.79787234,0.544997353,1
6349,13,11.04210526,162,0.565876084,16,5206,11,12,8.717391304,0.538232373,1
5965,13,12.96842105,79,0.55169894,10,6285,13,12,10.33684211,0.568614858,1
6031,13,10.39361702,92,0.558377468,13,5616,13,10,10.82105263,0.583244963,1
5971,13,10.97894737,150,0.523662251,11,6247,13,10,11.84210526,0.533208812,0
5771,12,9.768421053,41,0.537306355,12,6029,13,11,11.42553191,0.499561685,0
6284,13,11.46315789,166,0.52185008,15,5529,12,10,10.5,0.505507956,1
6320,13,10.25531915,149,0.568363273,13,5056,11,10,8.602150538,0.535901094,1
5843,13,10.53684211,96,0.518491958,12,6087,13,12,10.95789474,0.572262901,0
5986,13,11.11702128,89,0.522374726,10,6106,13,11,10.24210526,0.53923408,0
6055,13,11.6,184,0.644268009,12,5684,13,12,11.05263158,0.63874602,1
5938,13,12.30526316,172,0.523351106,12,6246,13,11,10.01052632,0.563591703,1
6010,13,11.24210526,131,0.541198271,12,5325,11,8,8.70212766,0.537171178,1
6303,13,11.22340426,111,0.571319102,15,6052,13,12,10.62105263,0.576043069,1
5639,12,9.926315789,38,0.532459554,12,5765,13,8,10.90526316,0.54248497,1
6324,13,11.29787234,191,0.621610288,15,5963,12,11,10.13684211,0.512040409,1
5863,12,10.82105263,135,0.539361702,15,5253,11,6,8.404255319,0.657377049,1
